Taygetos_4_1	1	iTaygetos_4_1	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_4_2	1	iTaygetos_4_2	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_4_3	1	iTaygetos_4_3	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_4_4	1	iTaygetos_4_4	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_4_5	1	iTaygetos_4_5	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_4_6	1	iTaygetos_4_6	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_4_7	1	iTaygetos_4_7	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_4_8	1	iTaygetos_4_8	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_4_9	1	iTaygetos_4_9	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_4_10	1	iTaygetos_4_10	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_1	1	iTaygetos_7_1	196	196	125	125	136	136	253	253	255	255	235	235	337	337	169	169	172	172
Taygetos_7_2	1	iTaygetos_7_2	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_3	1	iTaygetos_7_3	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_4	1	iTaygetos_7_4	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_5	1	iTaygetos_7_5	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_6	1	iTaygetos_7_6	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_7	1	iTaygetos_7_7	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_8	1	iTaygetos_7_8	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_9	1	iTaygetos_7_9	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_10	1	iTaygetos_7_10	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_11	1	iTaygetos_7_11	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
Taygetos_7_12	1	iTaygetos_7_12	196	196	125	125	136	136	239	239	255	255	235	235	337	337	169	169	172	172
